BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
AVHFTMB	ADVIHIR FATA		
ADWFTNSK	ADWA FATA		
ADWD	ADWAD		
AWRAA	ADWARI FATA		
ADYL	ADYAL		
ADYLBCA	ADYAL		
AYLAB	ADYAL		
ADLPRS	ADYALPUNARVASAN		
AEC	AEC		
ADAOHH	AEDGAON		
ADAFTHH	AEDGAON FATA		
AQSCN	AEQUS COMPANY		
ARNYN	AERANDGAON		
ARNDLEJ	AERANDOL		
ARNNN	AERENDGAON		
ARDUAA	AERO DRUM COLONY		
ARDAA	AERODRAM COLONY STOP		
ARSTIOO	AEROSTRIP		
AES	AES		
AFMC	AFARM CENTRE		
AFAR	AFARM TRAINING CENTRE		
AFZPRKR	AFAZALPUR		
AFPR	AFZALPUR		
AFZA	AFZALPUR X RD.		
AGDKN	AGA DUKAN		
AGDMFT	AGADAMBE FATA		
AAGO	AGADGAON		
AGADI	AGADI		
AGADICCA	AGADI		
AAALDB	AGAFAL		
AAAONKNK	AGAGAON FATA		
AGJPD	AGAJ POD		
AAADAZ	AGALA		
AGLMOD	AGALAMBE ODHA		
AAVGK	AGALAVE HOUSE		
AVDIFT	AGALAVEDADI FATA		
AAGAKS	AGALGAON		
AGLGN	AGALGAON		
AGLTSS	AGALGAON FATA		
ALONFT	AGALGAON FATA		
AAGBS	AGALGAON RD		
AAGOKS	AGALGAON X RD.		
AAALKR	AGANAL		
AADRJ	AGANDA		
AAKAND	AGANKHAND FATA		
AANVS	AGAON VASTI		
AAAA	AGAR		
AAFTDW	AGAR FATA		
AASK	AGAR FATA		
ARFAGHR	AGAR FATA		
AALJR	AGAR GAV		
AAKSK	AGAR KAMBARDE		
AAHN	AGAR KHAND		
ARNR	AGAR NANDUR		
AGARWDM	AGAR VADI		
AAGAR	AGAR WADI		
ADND	AGARDANDA		
AREKDPR	AGARE KATHEL		
AAEVS	AGARE VASTI		
AAREWD	AGARE WADI		
AREWRJR	AGARE WADI		
AAGANDW	AGARGAON		
AGRGN	AGARGAON		
AGRGNKNG	AGARGAON		
AAGANKN	AGARGAON FATA		
AAGONDW	AGARGOAN		
AAGRNR	AGARGULE		
AAIDOR	AGARI FATA		
AARIGN	AGARI GAON		
ARIMDPR	AGARI MADHALIWADI		
AAICGG	AGARICULTURE MARKET		
AAKGKRD	AGARKHED		
AAKGKR	AGARKHED FATA		
AALIPT	AGARLIGAON		
AGM	AGARMATHA		
AANRNR	AGARNARAL		
AGAN	AGARNARAL FATA		
AGRDA	AGARWADA		
AAWDI	AGARWADAI		
AAWAIPT	AGARWADI		
AAWRNR	AGARWADI		
AAWVGS	AGARWADI		
AGRDI	AGARWADI		
AGRRTN	AGARWADI		
AAWAIPRTE	AGARWADI SCHOOL		
AGARWAL	AGARWAL		
AAWDOR	AGARWAYGANI		
ARRI	AGARZARI		
AAKAPA	AGAS KHAND FATA		
AGGW	AGASHE GODOWN		
AAHRNR	AGASHE KOND		
AAHIVT	AGASHI		
AAHIBVT	AGASHI BAZAR		
AAHIFVT	AGASHI FATA		
AAHIVVITE	AGASHI VALAI FATA		
AAHIVVT	AGASHI VASAI FATA		
AGSKRS	AGASHIV NAGAR		
AAKHNPA	AGASKHAND		
AAKSN	AGASKHIND		
AASKIA	AGASKHIND FATA		
AATA	AGASTI FATA		
AGSTSCL	AGASTI SCOOL		
AAWKS	AGASWADI		
AANAGAS	AGATNALGAON		
AAANDT	AGAVAN		
AAANAPT	AGAVANPADA		
AGV	AGAVE		
AGVHSCH	AGAVE HIGH SCHOOL		
AAVKRPRA	AGAVEKARVADI		
AWSP	AGAWA SHOP		
AEKMDR	AGERKOND		
AGWDD	AGEWADI		
AWDIFT	AGEWADI FATA		
AEAYN	AGEWAN VASTI		
AGHI	AGHAI		
AGHAR	AGHAR		
AHARFT	AGHAR FATA		
AHVJP	AGHAV WADI		
AHFFTSB	AGHEFAL FATA		
AIKHDMB	AGI KHEDEKAR		
AGEMRS	AGIENTA POULTRY		
AIHEPA	AGIKHED		
AGTCK	AGNI HOTRI CHOWK		
AOIIPA	AGOTI		
AOIIPB	AGOTI NO.1		
AOIIPC	AGOTI NO.2		
ARMAKDB	AGR.MARKET		
AGRA	AGRA		
AGRABCA	AGRA		
ARICJ	AGRA HIGHWAY		
ARIDD	AGRA HIGHWAY		
ARRPN	AGRA RD.		
ARFN	AGRA RD. FATA		
ARRPNNK	AGRA RD. FATA		
AGRDCL	AGRA ROAD CHAUFULY		
ARRA	AGRA ROAD FATA		
ARRAMN	AGRA ROAD JUNCTION		
ARRAMT	AGRA ROAD JUNCTION		
ARRANN	AGRA ROAD JUNCTION		
ARDRNR	AGRADI		
ARLIFDN	AGRALI FARM		
ARLIFM	AGRALI FARM		
ARLIFMN	AGRALI FARM		
ARLIFNN	AGRALI FARM		
ARLIGPR	AGRALI GAON		
ARAWVUSH	AGRALWADI		
AGAKVS	AGRAN DHULGAON		
ARROJT	AGRAROD JUNCTION		
AGRPL	AGRASEN PUTALA		
ARAIRARA	AGRATI MARATHI SCHOOL		
AGRAV	AGRAV		
ARVAVT	AGRAVAL		
AVC	AGRAVAL CO.		
ALVMN	AGRAWL VISHRAM BHAVAN		
AGRK	AGRE KOND		
ARRAR	AGRE VADI		
ARECWW	AGREECULTURE SCHOOL		
ARWRNR	AGREWADI		
AGRIBHN	AGRI		
ARAMN	AGRI FARA		
ARFJJ	AGRI FARM		
ARPS	AGRI FARM		
ARIJLJL	AGRI FROM		
AROWW	AGRI OFFICE		
ARIWSWS	AGRI OFFICE WSM		
ARLL	AGRI SCHOOL		
ARSPP	AGRI SCHOOL		
ARWW	AGRI SCHOOL		
AGIPTS	AGRI SHED FARM		
AR.KDR	AGRI. COLLEGE		
ARCAAMM	AGRI. COLLEGE		
AROWCOL	AGRI. COLLEGE		
AFR	AGRI. FARM		
AFRC	AGRI. FARM		
AFRMN	AGRI. FARM		
AGFKR	AGRI. FARM		
AGRIFD	AGRI. FARM		
AGRIFM	AGRI. FARM		
AGRIFMPPR	AGRI. FARM		
AR.LJR	AGRI. FARM		
AR.PS	AGRI. FARM		
ARABJ	AGRI. FARM		
ARFJJLL	AGRI. FARM		
ARFR	AGRI. FARM		
ARFVAR	AGRI. FARM		
ARFPY	AGRI. FARM FATA		
AREJP	AGRI. GEAR-IMPROVEMENT		
ARADB	AGRI. MARKET		
ARAGG	AGRI. MARKET		
ARADABA	AGRI. MARKET COMMITTEE		
AAR.PA	AGRI. OFFICE		
AOC	AGRI. OFFICE		
AOF	AGRI. OFFICE		
AOFNN	AGRI. OFFICE		
AGRP	AGRI. PROJECT MARKET COMMITTEE		
APMC	AGRI. PROJECT MARKET COMMITTEE		
AGRISCL	AGRI. SCHOOL		
ARCMN	AGRI. SCHOOL		
ARCSD	AGRI. SCHOOL		
ARSMC	AGRI. SCHOOL		
AGIPS	AGRI. SEED FIRM		
ARNRA	AGRI. UNIVERSITY		
ARCUMN	AGRICULTURAL FARM		
ARCULL	AGRICULTURAL SCHOOL		
ARCUPTS	AGRICULTURAL SEED FARM		
AGTRCG	AGRICULTURE COLLEGE		
ARCLRGD	AGRICULTURE COLLEGE		
ARCAA	AGRICULTURE OFFICE		
ARCUGGN	AGRICULTURE PRODUCED MARKED COMMITTEE.		
AGDON	AGRIDGAON		
ARMDB	AGRO MARKET		
ARDB	AGRO MARKET PRO. COMMT.		
AGRLI	AGROLI		
ARLIGTT	AGROLI GAON		
AGOON	AGROLIGAON		
AGOONPRI	AGROLIGAON		
AUDSS	AGUNDE WADI		
AGSTHCL	AGUSTI  SCHOOL		
AGNR	AGUSTI SCHOOL / BHAGAT SING NAGAR		
AGVEFT	AGVE FATA		
AEJOLNR	AGVE JOSHIWADI		
AVLJR	AGVE JUNA STOP		
AEPOLNR	AGVE POST		
AESCLNR	AGVE SCHOOL		
AVKARTR	AGVEKARWADI FATA		
AWNYN	AGWAN VASTI		
AGWD	AGWEWADI		
AAWN	AHALWANI		
AAAKA	AHAMADNAGAR DIST. BORDER		
AAADAL	AHAMADPUR		
AHNDFT	AHANDRUD FATA		
AHRDE	AHARKHADE		
AAGUJ	AHAVA		
AAAGUJ	AHAWA		
AHWFT	AHAWAFATA		
AELMBB	AHER LIMGAON		
AEAT	AHER VASTI		
AEDN	AHER VASTI		
AENN	AHER VASTI		
AEWPP	AHER WADI		
AEALZY	AHERALI		
AHRGDC	AHERGAON		
AEGANNN	AHERGAON FATA		
AEGOPN	AHERGAON FATA		
AHIR	AHERI		
AHR	AHERI		
AEIFTWY	AHERI FATA		
AERIFT	AHERI FATA		
AENWBC	AHERNAWARGAON		
AEWAGB	AHERWADGAON		
AEWDAB	AHERWADGAON FATA		
AEWAGGB	AHERWADGAON X RD.		
AEWYN	AHERWADI		
AEWFTPP	AHERWADI FATA		
AHKDA	AHIKHADA		
AKDEFT	AHIKHADE FATA		
AIHDTP	AHIKHEDA		
AIHETP	AHIKHEDA PATI		
AHLYCHK	AHILYA CHOWK		
AHLYNGR	AHILYA NAGAR		
AIYANG	AHILYA NAGAR		
AIYAPSD	AHILYA PUR FATA		
AHLNGR	AHILYANAGAR		
AHYLNGR	AHILYANAGAR		
AIYARTR	AHILYANAGAR		
AIYLJR	AHILYANAGAR		
AHYUR	AHILYAPUR		
AIYPSD	AHILYAPUR FATA		
AWPR	AHIMAWADI PHARASHI		
AIEJP	AHINE WADI		
AHSRG	AHINSA NISARGA		
ANPCG	AHINSA POLYTECHINIC COLLEGE		
AIWAPP	AHINWADI		
AHIRR	AHIR		
AIAGONN	AHIRAGAON		
AIAGONKNK	AHIRAGAON FATA		
AIAIPY	AHIRALI		
AHREDJL	AHIRE		
AHRRR	AHIRE		
AIEPS	AHIRE		
AIESS	AHIRE COLONY		
ARWD	AHIRE WADI		
AHRGN	AHIREGAON		
ARGNK	AHIREGAON		
AHIE	AHIREGAON FATA		
ARFTC	AHIREGAON FATA		
AHRWD	AHIREWADI		
AIEWDPR	AHIREWADI		
AIGANNN	AHIRGAON		
AIGANPN	AHIRGAON FATA		
AIVMP	AHIRVADE		
AHRFT	AHIRWADA FATA		
AHRLJ	AHIRWADA VILLAGE		
AIWDRJ	AHIRWADI		
AIWMP	AHIRWADI		
AIWWS	AHIRWADI		
AHRWDFT	AHIRWADI FATA		
AHRWDGN	AHIRWADI GAON		
AIADN	AHIVANT WADI FATA		
AADIFT	AHIVANTWADI FATA		
AIAKN	AHIWANTWADI		
AHIN	AHIWANTWADI FATA		
AIANWKN	AHIWANTWADI FATA		
AKINNK	AHKAI FORT FATA		
AAIANN	AHKAI VILLAGE FATA		
AHARHA	AHMAD NAGAR		
AHASIA	AHMAD NAGAR		
AMDSP	AHMADABAD GAON		
AHABGUJ	AHMADABAD HIGHWAY		
AMDABJ	AHMADGAON		
AMDNJA	AHMADNAGAR BEED DIST BORDER		
AMDAAZ	AHMADNAGAR DIST. BORDER		
AMDSA	AHMADNAGAR FATA		
AMDKN	AHMADPUR		
AMDPRWDAI	AHMADPUR		
APR	AHMADPUR		
AHMDBKSL	AHMADPUR BHAKTI STEL		
ABDS	AHMEDABAD		
AHMBD	AHMEDABAD		
AHMDPL	AHMEDNAGAR		
AHMEDNAGAR	AHMEDNAGAR		
AMDAAB	AHMEDNAGAR - BIR DIST. BORDER		
AMDAAAAR	AHMEDNAGAR AURANGABAD X RD.		
AMDNGAIB	AHMEDNAGAR BEED DIST. BORDER		
AMDNGJA	AHMEDNAGAR BEED DIST. BORDER		
AMDAJA	AHMEDNAGAR BORDER		
AMDAKA	AHMEDNAGAR BORDER		
AMDAYN	AHMEDNAGAR BORDER		
ACF	AHMEDNAGAR CLUB FATA		
ADCL	AHMEDNAGAR COLLEGE		
AMDABJAL	AHMEDNAGAR DEVLA		
AMDAPJ	AHMEDNAGAR DEVLA		
AMEDAAANG	AHMEDNAGAR DIST BORDER		
ADBK	AHMEDNAGAR DIST. BORDER		
ADBPA	AHMEDNAGAR DIST. BORDER		
ADBRA	AHMEDNAGAR DIST. BORDER		
ADBSA	AHMEDNAGAR DIST. BORDER		
AHMI	AHMEDNAGAR DIST. BORDER		
AMDNGAB	AHMEDNAGAR DIST. BORDER		
AMDNGNA	AHMEDNAGAR DIST. BORDER		
AMDAASAR	AHMEDNAGAR DOUND RD. FATA		
ADARFT	AHMEDNAGAR FATA		
AMDAAKSR	AHMEDNAGAR FATA		
AMDAGA	AHMEDNAGAR FATA		
AMDKP	AHMEDNAGAR FORGING CO.		
AFF	AHMEDNAGAR FORT FATA		
AEDAAAR	AHMEDNAGAR FORT GATE		
AMEDAAANA	AHMEDNAGAR KOTE FATA		
ANGRMWD	AHMEDNAGAR MALIWADA		
AMDAAKAR	AHMEDNAGAR MANMAD X RD.		
AMDAAA	AHMEDNAGAR NAKA		
AMDNGAA	AHMEDNAGAR NEW RD. FATA		
AMPXXD	AHMEDNAGAR PUNE X RD.		
AEDASAR	AHMEDNAGAR RD.		
AHMN	AHMEDNAGAR RLY. STN.		
AMDNGBB	AHMEDNAGAR X RD.		
AMDNGAIBD	AHMEDNAGAR-BEED DIST. BORDER		
AMDAE	AHMEDNAGER MANMAD MAIN RD.		
AMDGRB	AHMEDNGAR X RD.		
AMDNG	AHMEDNNAGAR TISGAON RD		
AMDPRAL	AHMEDPUR		
AMDUPP	AHMEDPUR KOURI FATA		
AREDJ	AHRAE		
AHRGCNS	AHREGAON FATA		
AHJNR	AHUJA NAGAR		
AHPE	AHUPE		
AULNN	AHURLI		
AHTVTA	AHVATA		
AWFTNN	AHWA FATA		
AOHIWD	AHYODHI WADI		
ACSG	AIC SIGNAL		
ACALNN	AICHALA		
ACALSD	AICHALE		
ADLAUPJ	AIDALAPUR		
AIEQ	AIE		
AGLE	AIGALE		
AILKAR	AIGALI CROSS		
ANDT	AINA		
ANJT	AINA		
ANPRTE	AINA		
AICWDT	AINACHIWADI		
ANLBRD	AINAL BRIDGE		
AALCKNS	AINAL CHAVATA		
ANLKKS	AINAL FATA		
AALMKNS	AINAL MANERWADI SCHOOL		
AALPKNS	AINAL PIMPALWADI		
AIADI	AINALWADI		
AIPRKAR	AINAPUR		
ANPRG	AINAPUR		
AINP	AINAPUR FATA		
ANUGK	AINAPUR VASAHAT		
ANEVS	AINARE FATA		
ANARI	AINARI		
ANV	AINAVARE		
ANSD	AINE		
ANFTDD	AINE FATA		
ANFTSD	AINE FATA		
ANRK	AINI		
ANHEKB	AINKHED		
AMALAKDS	AINMALA		
ANAKAS	AINMALA COAL KARKHANA		
ANALKDS	AINMALA FATA		
ANDEDDS	AINODE PUNARVASAN		
ANURJ	AINPUR		
ANUYJ	AINPUR		
ANURJVL	AINPUR COLLEGE		
AIWKAS	AINWADI FATA		
ANAHLRR	AINWAHAL		
AP	AIP		
APTIUO	AIPATI		
AIPTGDC	AIPETA		
ARFRR	AIR FORCE		
AIRFRSTN	AIR FORCE STN GATE		
ARFMP	AIR FORCE STN.		
AFSB	AIR FORCE STN. BORGAD		
AFSF	AIR FORCE STN. FATA		
ARFRNK	AIR FORCE STN. GATE		
AFS	AIR FORCE STN. OZAR		
ARDAOC	AIR INDIA OFFICE		
ARPMA	AIR PORT FATA		
ARPOTNN	AIR PORT ROAD / HOTEL CENTRE POINT		
AIRT	AIR TRANSMISSION CENTRE		
AIRTRN	AIR TRANSMISSION CENTRE		
AIRAG	AIRAG		
ARMBIPT	AIRAMBI		
AIEKRS	AIRE DRUM		
AREWDI	AIREWADI		
AIRL	AIRLINE DY. STUFF		
ARIEKN	AIRLINES CENTER		
ARENSK	AIRMEN QUARTERS II		
AREQA	AIRMEN QUARTERS NO. 1		
AREQB	AIRMEN QUARTERS NO. 2		
AIROLI	AIROLI		
ARI	AIROLI BRIDGE		
ARIMM	AIROLI BRIDGE		
ARLIMU	AIROLI BRIDGE FATA		
AC	AIROLI CIRCLE		
ARLIFT	AIROLI FATA		
ARLIMUM	AIROLI FATA		
ARLIGN	AIROLI GAON		
AIROLINAKA	AIROLI NAKA		
ARLITT	AIROLI SECTOR 3		
ARLISECT	AIROLI SECTOR 5		
ARTNK	AIROLI TOLL NAKA		
AROKAS	AIRPORT		
ARORNN	AIRPORT		
ARORYY	AIRPORT		
AROTJJ	AIRPORT		
ARPRT	AIRPORT		
AIPRBRF	AIRPORT BRIF		
APRTCL	AIRPORT COLONY		
APRTFT	AIRPORT FATA		
APRTFTK	AIRPORT FATA		
APRTFTNN	AIRPORT FATA		
ARORAA	AIRPORT X RD.		
ARORAJ	AIRPORT X RD.		
ARERNR	AIRTEL TOWAR		
AREKN	AIRTEL TOWER		
ATNDOS	AITAN BRIDGE		
ATWWS	AITAWADE BUDRUK		
ATWWSA	AITAWADE BUDRUK GAON		
AIAWLS	AITAWADE KHURD		
ATDSS	AITWADE BUDRUK		
ATDPK	AITWADE KHURD		
AVN	AIVEN		
AJBNGAW	AJABNAGAR		
AADNGNG	AJADA		
AJADA	AJADA		
AAAOSW	AJADA TOLL NAKA		
AAAOVNS	AJAGAON TRAINING COLLEGE		
AJGBNG	AJAGAONKAR BANGALA		
AGEBLNR	AJAGE BRIDGE		
AJITL	AJAI TOLA		
AAALMS	AJAKALI		
AAEFTSW	AJAKEL FATA		
AAWDLN	AJAMWADI		
AAAW	AJAN		
AAAMS	AJANAGAON		
AJRI	AJANARI		
AJNT	AJANAT		
AAAASA	AJANATA		
AAAAJJ	AJANATA X RD.		
AJALE	AJANAWALE		
AJNDA	AJANDA		
AJNDARJL	AJANDA		
AADESD	AJANDE		
AJNDE	AJANDE		
AADOKW	AJANDOH		
AAERTRNK	AJANERI		
AAERTN	AJANERI FATA		
AAAGMN	AJANG		
AJNG	AJANG		
AJNGD	AJANG		
AAGAMN	AJANG VADEL		
AAGDA	AJANGAON		
AJNGNNN	AJANGAON		
AJNGNWCA	AJANGAON		
AAIBA	AJANI		
AAICL	AJANI		
AAIKW	AJANI		
AAILL	AJANI		
AAILRBA	AJANI		
AAIMBL	AJANI		
AAINL	AJANI		
AAINN	AJANI		
AAIPN	AJANI		
AAISN	AJANI		
AAIUL	AJANI		
AJANI	AJANI		
AJANIMN	AJANI		
AAIUMB	AJANI BUDRUK		
AAIHNN	AJANI CHOWK		
AAIABA	AJANI FATA		
AAIMNGP	AJANI FATA		
AAIPNGP	AJANI FATA		
AAILB	AJANI KHURD		
ANS	AJANI SQUARE		
AAITG	AJANI TOLA		
AASAAHW	AJANSARA		
AASNAL	AJANSOND		
AASPS	AJANSOND FATA		
AASOCL	AJANSONDA		
AJAN	AJANSONDA		
AJAS	AJANSONDA X RD.		
JNSDGN	AJANSONDGAON		
AATABJ	AJANTA		
AATASA	AJANTA		
AJNTA	AJANTA		
AATASW	AJANTA / TOLL NAKA		
ACV	AJANTA CAVES		
AJCXXDSJL	AJANTA CAVES X RD.		
AATACJJ	AJANTA CHAUFULI		
AATSS	AJANTA CHOWK		
AATAH	AJANTA FATA		
AATAGN	AJANTA GAON		
ANHT	AJANTA HOTEL		
AATANHP	AJANTA NAGAR		
AJTP	AJANTA TP		
AJAA	AJANTA X RD.		
AATIAY	AJANTI		
AATIHW	AJANTI		
AATINY	AJANTI		
AATFTNN	AJANTI FATA		
ANSM	AJANTISIM		
AJR	AJARA		
AARAFT	AJARA FATA		
AJAR	AJARALI GAON		
AARAVUSH	AJARWADI P.H.C.		
AAWKAS	AJARWADI P.H.C.		
AAARAR	AJAVALI FATA		
JYMLTLS	AJAY MULTISALES		
AJAYNG	AJAY NAGAR		
AAPULB	AJAYPUR		
AJYUR	AJAYPUR		
ABHIR	AJBE SHIRAL FATA		
ABAT	AJBE VASTI		
ABSIRA	AJBESHIRAL FATA		
AJDA	AJDA		
AEAORDW	AJEGAON		
AEAFTSH	AJEGAON FATA		
AEDRR	AJEWADI		
AJGANITG	AJGANI		
AJGI	AJGANI		
AGNKDR	AJGANI FATA		
AJGN	AJGAON		
AGONVNS	AJGAON MARATHI SCHOOL		
AIPUDA	AJIJPUR		
AIPUAA	AJIMPUR		
AITSAR	AJINTA T POINT		
AITHBB	AJINTHA		
AJINT	AJINTHA		
AITASAR	AJINTHA GAON		
AITHBABA	AJINTHA GAON		
AITJJ	AJINTHA GUFA FATA		
AIPULB	AJISPUR		
AJISPR	AJISPUR		
AIPFTLB	AJISPUR FATA		
AIPDA	AJITPUR/GORALA		
AIAIP	AJIVALI		
AJVL	AJIVALI		
AJVLI	AJIVALI		
AIVLRPRA	AJIVALI BOUDHVADI		
AVBD	AJIVALI BUDDHAWADI		
AIARAR	AJIVALI FATA		
AJIV	AJIVALI FATA		
AVGN	AJIVALI GAON		
AGW	AJIVALI GAVADE WADI		
AHS	AJIVALI HIGH SCHOOL		
AVHSC	AJIVALI HIGH SCHOOL		
AKV	AJIVALI KOTHAR VADI		
ASW	AJIVALI SONAR WADI		
AIARK	AJIWADE		
ARFCG	AJMERA FARMACY COLLEGE		
AMROFTN	AJMERO FATA		
AMRSN	AJMIR SAUNDANE		
AJND	AJNAD		
ANDRJVL	AJNAD		
ANDUCJ	AJNAD BUNGALOW		
ANDUSD	AJNAD BUNGALOW		
ANLDD	AJNALE		
ANRFT	AJNER FATA		
ANRITN	AJNERI		
AJNI	AJNI		
AJNIKNN	AJNI		
ANNY	AJNI		
ANKNGP	AJNI FATA		
ANSN	AJNI FATA		
ANKLBL	AJNI KHURD		
ANNRR	AJNJANRI BRIDGE		
AJNJ	AJNUJ		
ANJSAR	AJNUJ		
AJNP	AJNUP		
APFTN	AJNUP FATA		
AJLI	AJOALI		
AOLIKR	AJOALI		
AJOL	AJOL		
AOIIP	AJOTI		
AOIPS	AJOTI		
AJRAFT	AJRA FATA		
AJRAFTA	AJRA FATA		
ARFSWS	AJRA FATA		
ARGAK	AJRA GADHINGLAG ROAD		
ARMAK	AJRA MIDC		
AVIVS	AJVILI FATA		
AANIMJ	AKAHNI		
AKIHWD	AKAICHIWADI		
AAAU	AKALAPUR		
AAAUAAR	AKALAPUR FATA		
AADMRDD	AKALDMORANE		
AKALE	AKALE		
AKLS	AKALE		
AAEMS	AKALE VASTI		
AKAL	AKALI		
AAOIGB	AKALOLI GAON		
AKALPE	AKALPE		
AKLPE	AKALPE		
AAWWA	AKALWIHIR		
AABADW	AKAMBA		
AABAMW	AKAMBA		
AABAKAR	AKAMBA X RD.		
AAIMJ	AKANI		
AAKMS	AKANKAPURI		
AAURMC	AKAPUR		
AAURWY	AKAPUR		
AKAPUR	AKAPUR		
AKPRY	AKAPUR		
AAUFTWY	AKAPUR FATA		
AAPLAG	AKAR PALLI BRIDGE		
AAEJT	AKARE		
AAEAJT	AKARE FATA		
AAJUWC	AKARJUN		
AKRSNCK	AKARSHAN CHOWK		
AKRW	AKARWAI		
AAAWS	AKASAR		
ASIGD	AKASHI		
AAHMS	AKASHWANI		
AAHWNRR	AKASHWANI		
AAHWPP	AKASHWANI		
AKSWNI	AKASHWANI		
AKWN	AKASHWANI		
ABC	AKASHWANI BROADCASTING CENTRE		
ASHWARTR	AKASHWANI BROADCASTING CENTRE		
AKWNKJ	AKASHWANI CHOWK		
AAHAIK	AKASHWANI KENDRA		
AAHAJJLL	AKASHWANI KENDRA		
AAHAPP	AKASHWANI KENDRA		
AAHAI	AKASHWANI.		
AKSCK	AKASHWANICHOWK		
AKATG	AKATOLA		
AAOPP	AKATOUR FATA		
ATKD	AKATWADI KARANJKHEDA		
AKVNI	AKAVANI		
ABRRY	AKBAR BALA		
ABRFT	AKBAR FATA		
ABRAAP	AKBARNAGAR		
AEAOIN	AKEGAON		
AEAVNPT	AKEGAVAN		
AKEL	AKELA X RD.		
AEAGAEJ	AKELAGNA		
AEIRAR	AKERI		
AKERI	AKERI		
ARBZ	AKERI BAZAR		
AERIBW	AKERI BUNGALOW		
ART	AKERI TITA		
AHDRAR	AKHADA		
AHDABH	AKHADA BALAPUR		
AAHDSD	AKHADE		
AKDT	AKHADEVASTI		
AHNIMJ	AKHANI		
AHNIDPJ	AKHANI DAM		
AKHNFT	AKHANI FATA		
AHNITPJ	AKHANI TALAO FATA		
AKHRJT	AKHAR		
AHRAP	AKHARWADI		
AKHA	AKHARWADI		
AHTATA	AKHAT FATA		
AHTAKA	AKHATVADE		
AHTA	AKHATWAD		
AAHTSN	AKHATWADA		
AHTAKAR	AKHATWADA		
AHTKW	AKHATWADA		
AHTTA	AKHATWADA		
AKHTWD	AKHATWADA		
AKHW	AKHATWADA		
AHTABJ	AKHATWADE		
AHTAE	AKHATWADE		
AHTAPJ	AKHATWADE		
AHTAI	AKHATWADI FATA		
AHVVBS	AKHAVANE		
AVNE	AKHAVANE		
AAVANVIS	AKHAVANE FATA		
AHGJS	AKHEGANI		
AHGO	AKHEGAON		
AHRRAR	AKHERI		
AHISS	AKHERI BAZAR		
AKEISS	AKHERI BUNGALOW		
AKHB	AKHIL BRAHMAN SANGH		
AKLRUO	AKHLER HANGARGA X RD.		
AHNKAR	AKHONI		
AKHONI	AKHONI		
AHMA	AKHUMBA		
AKWT	AKIWAT		
AITSK	AKIWAT FATA		
AKKT	AKKALKOT		
AKLDP	AKKALKOT DARSHAN		
AKLAK	AKKALKOT MANDIR		
AKKA	AKKALKOT RLY. STN.		
AKLAS	AKKALKOT RLY. STN. FATA		
AKKSTN	AKKALKOT STAND		
AKKW	AKKALKUWA		
AKKDA	AKKALPADA		
AKLPDD	AKKALPADA		
AKLSOSD	AKKALSKOS		
AKLAI	AKKALWADI		
AKRBAVT	AKKARBHAT		
AKRPTPRTE	AKKARPATTI		
AKRPTPT	AKKARPATTI FATA		
AKSASD	AKKDSA		
AKSAFSD	AKKDSA FATA		
AKLKAR	AKKOL		
AKLDD	AKLAD		
AKLDFT	AKLAD FATA		
ALDODD	AKLAD MORANE		
AHRE	AKLAHRE		
ALLAKB	AKLOLA TILAK PUTLA		
AKLO	AKLOLI		
ALDFRJ	AKLUD FATA		
ALDFYJ	AKLUD FATA		
AKJ	AKLUJ		
ALUIDPN	AKLUJ		
ALJSS	AKLUJ FATA		
ALUJFT	AKLUJ FATA		
ALUJFTMSL	AKLUJ FATA		
ALJIP	AKLUJ NAKA		
ANFTMJ	AKNI FATA		
AKNR	AKNUR		
AKURK	AKNUR FATA		
AOIFKC	AKODI FATA		
AKL	AKOLA		
AKLA	AKOLA		
AKLAPS	AKOLA		
AKLCBS	AKOLA		
AKLKCA	AKOLA		
AKLRN	AKOLA		
AOAAEAR	AKOLA		
AOABB	AKOLA		
AOADY	AKOLA		
AOAJDJA	AKOLA		
AOAKIP	AKOLA		
AOAMS	AKOLA		
AOANY	AKOLA		
AOAPA	AKOLA		
AOAWCRA	AKOLA		
AOLKABLA	AKOLA		
AOLWSAO	AKOLA		
AOAMAO	AKOLA .		
AOAMAA	AKOLA AMRAVATI DIST. BORDER		
AOAYY	AKOLA BAZAR		
AOABAAOO	AKOLA BULDHANA BORDER		
AOABBA	AKOLA BULDHANA BORDER		
AOABKBAL	AKOLA BULDHANA BORDER		
AKOB	AKOLA BULDHANA DIST. BORDER		
AKLBDR	AKOLA BULDHANA DIST.BORDER		
AOAHHN	AKOLA BY PASS		
AOAHH	AKOLA BY PASS RD.		
AOLKABL	AKOLA BY PASS RD.		
AOAYKB	AKOLA BY ROAD		
AOABBALO	AKOLA BYPASS RD.		
AOABKB	AKOLA BYPASS RD. NAKA		
AOAHMA	AKOLA CHOWK		
AOAAOF	AKOLA D.C.OFFICE		
AKLDOJ	AKOLA DEO		
AOAEJJ	AKOLA DEV		
AKLAFT	AKOLA FATA		
AOAFBA	AKOLA FATA		
AOAFTMA	AKOLA FATA		
AOAFTMB	AKOLA FATA		
AOAFTUY	AKOLA FATA		
AOLAFT	AKOLA FATA		
AOLAFTTB	AKOLA FATA		
AOAJB	AKOLA KHURD		
AOLAKH	AKOLA KHURD		
ALNK	AKOLA NAKA		
