BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
ANMP	ADNA		
ANDCA	ADNADI		
ADLFKAR	ADNAL FATA		
AOAIP	ADOBA VASTI		
AOJB	ADOL		
AONB	ADOL		
AOESH	ADOLE		
ADOLI	ADOLI		
AOBK	ADOLI		
AOITT	ADOLI		
AOIWW	ADOLI		
AOIAWW	ADOLI FATA		
AOLIFT	ADOLI FATA		
AOIDPS	ADORI		
AOEKAS	ADOSE KHALCHI WADI		
ASEVKDS	ADOSE VARCHI WADI		
AOEWKDS	ADOSEWADI FATA		
AOHIKR	ADOSHI		
AOHIMT	ADOSHI		
AOHIFMT	ADOSHI FATA		
ALLICGD	ADPALLI		
APLIMG	ADPALLI		
ADPLLML	ADPALLIMAL		
ADRAIRD	ADRAI		
ARKPS	ADRAKI BUDRUK		
ARKPHN	ADRAKI KHURD		
ARFTMR	ADRE FATA		
ARIKS	ADRKI FATA		
ADSRA	ADSARA		
ARFTS	ADSARE FATA		
ASRIN	ADSARE FATA		
ASASB	ADSNA		
ASLBO	ADSOLI FATA		
ASDAA	ADSUD FATA		
ADSUL	ADSUL		
ADSULKBL	ADSUL		
ASLAA	ADSUL		
ASLAAZ	ADSUL		
ASLTA	ADSUL		
ASULFT	ADSUL FATA		
ASLGTA	ADSULGAON		
ADLDI	ADSULWADI		
ADLDIKSN	ADSULWADI		
ASLWDKO	ADSULWADI		
ASWBK	ADSULWADI		
ADUKAS	ADSULWADI FATA		
ASWRK	ADSULWADI FATA		
ASLWDKBOD	ADSULWADI X RD.		
ADSRGN	ADSUREGAON		
ADL	ADUL		
ADLAAR	ADUL		
AUPA	ADUL		
AUDAA	ADUL FATA		
ALSAGHR	ADUL SAND		
AUADA	ADULA FATA		
AUASSR	ADULASE		
AUPPA	ADULPURA ROAD		
ADLSE	ADULSE		
ADR	ADUR		
ADURMK	ADUR		
ADFT	ADUR FATA		
ADURFT	ADUR FATA		
AURPGRRT	ADUR POST		
ADSN	ADUR SAHAN		
AUGAR	ADUR SOCIETY		
ADURE	ADURE		
AUKISS	ADURKI		
ADVODH	ADVA ODHA		
ADHN	ADVADHAN		
ADVI	ADVI		
AVHIMB	ADVIHIR		
