ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
657	PAREL to VINHE	PRL	VNH
658	PAREL to DAULI	PRL	DAULI
660	PAREL to WAKDA ANJARLA	PRL	WAKDAN
661	PAREL to VARUGAD	PRL	VRGD
664	DADAR EAST to PUNE RLY. STN.	DDRE	PNESTN
665	MUMBAI CENTRAL to RATNAGIRI	MCT	RTN
710	PAREL to KOLHAPUR	PRL	KLPCBS
718	KURLA NEHRU NAGAR to PANVEL	KNN	PNL
739	THANE RLY. STN. to PANVEL	THNRLY	PNL
748	BELAPUR RLY. STN. to PANVEL	BEAU	PNL
749	PANVEL to SHIRDI	PNL	SRDI
750	PANVEL to SAI	PNL	SAI
752	PANVEL to URAN	PNL	URN
753	PANVEL to APATA via SAVALE NO.2	PNL	APATA
754	PANVEL to JAMBHIVALI	PNL	JAHLI
758	PANVEL to MORBA	PNL	MRBA
759	PANVEL to DUNDRA	PNL	DNDRA
760	PANVEL to GHOTGAON	PNL	GHTON
763	PANVEL to VAJE	PNL	VAJE
766	PANVEL to BORKHAR via VIDHANE	PNL	BRKHR
769	PANVEL to KHOPATA	PNL	KHOTA
770	PANVEL to VAVANJE	PNL	VVNJE
774	PANVEL to NHAVA via JAVADE	PNL	NHAVA
775	PANVEL to DUDHANI	PNL	DDHN
776	PANVEL to MOTHI JUI	PNL	MTJ
777	PANVEL to GAVAN	PNL	GVN
778	PANVEL to AWARE	PNL	AWRE
779	PANVEL to HIKAL CO.	PNL	HKC
781	PANVEL to VASHENI	PNL	VSHNI
786	PANVEL to KELAVANE	PNL	KEANE
789	PANVEL to RETI BANDAR	PNL	RTBN
790	PANVEL to DOMBIVALI	PNL	DMBL
794	URAN to SHIRDI	URN	SRDI
796	URAN to DADAR EAST	URN	DDRE
797	URAN to THANE RLY. STN.	URN	THNRLY
802	URAN to KARANJA	URN	KRJA
803	URAN to TAKIGAON	URN	TAION
811	URAN to N.A.D. SCHOOL	URN	NADSC
813	URAN to CHIRNER	URN	CHER
819	URAN to CHIRNER via KALAMBUSARE	URN	CHER
823	URAN to MULUND RLY. STN.	URN	MUUY
824	MUMBAI CENTRAL to PANJIM via PATRADEVI	MCT	PNJM
828	PAREL to JAGTIYAL	PRL	JGTL
836	SWARGATE, PUNE to BORIVALI NANCY COLONY	SWR	BVINC
837	MUMBAI CENTRAL to SWARGATE, PUNE via CHINCHWAD	MCT	SWR
838	MUMBAI CENTRAL to BHIVANDI via SAIBABA MANDIR	MCT	BVD
841	SWARGATE, PUNE to MUMBAI CENTRAL	SWR	MCT
843	MUMBAI CENTRAL to PANCHGANI via MAHAD	MCT	PCGN
844	MUMBAI CENTRAL to UTTAMBAR via MANDANGAD	MCT	UTB
847	MUMBAI CENTRAL to SHRIVARDHAN via MHASALA	MCT	SDN
848	SWARGATE, PUNE to SHRIVARDHAN via PARVATI PAYTHA	SWR	SDN
849	MUMBAI CENTRAL to VELAS via MANDANGAD	MCT	VLS
850	MUMBAI CENTRAL to SATARA via KATRAJ NEW TUNNEL START	MCT	STR
852	SWARGATE, PUNE to MANTRALAYA	SWR	MANT
854	CHINCHWAD to DADAR EAST	CNWD	DDRE
855	SWARGATE, PUNE to MUMBAI CENTRAL via NAL STOP	SWR	MCT
856	SHIVAJI NAGAR PUNE to PETH via BHOSARI	SNGR	PETH
858	MUMBAI CENTRAL to PALI	MCT	PALIRGD
860	SHIVAJI NAGAR PUNE to BORIVALI NANCY COLONY	SNGR	BVINC
861	SWARGATE, PUNE to VINHERE GAON	SWR	VHREGN
862	SWARGATE, PUNE to DIVE AGAR via PAUD	SWR	DVAR
863	BORIVALI NANCY COLONY to BHOOM via JAVALA	BVINC	BHM
864	PAREL to ATPADI via DIGHANCHI	PRL	ATPD
865	BORIVALI NANCY COLONY to BHOOM via AHMEDNAGAR MALIWADA	BVINC	BHM
867	PAREL to VADACHI WADI BHATGAON	PRL	VWB
868	CHINCHWAD to CHIPLUN	CNWD	CPN
869	MUMBAI CENTRAL to CHIPLUN	MCT	CPN
870	PUNE RLY. STN. to CHIPLUN	PNESTN	CPN
872	BORIVALI NANCY COLONY to CHIPLUN	BVINC	CPN
873	MUMBAI CENTRAL to RAJAPUR	MCT	RJP
874	MUMBAI CENTRAL to DABHOL BANDAR	MCT	DLBN
876	MUMBAI CENTRAL to DAPOLI	MCT	DPL
878	THANE CBS to DAPOLI	THNCBS	DPL
879	MUMBAI CENTRAL to ANJARLE	MCT	ANJ
881	BORIVALI NANCY COLONY to DAPOLI via KANDIVALI WEST	BVINC	DPL
882	BORIVALI NANCY COLONY to DAPOLI via PEN	BVINC	DPL
884	NALASOPARA to DAPOLI	NSP	DPL
893	MUMBAI CENTRAL to DEORUKH	MCT	DRK
895	BORIVALI NANCY COLONY to SAKHARPA	BVINC	SKP
899	MUMBAI CENTRAL to DEVADE	MCT	DVDES
900	MUMBAI CENTRAL to TAVSAL	MCT	TAVSAL
901	MUMBAI CENTRAL to GUHAGAR	MCT	GHR
