route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
492,FULLW,95981,"Verna Cipla via Agnel Ashra",,0
492,FULLW,95984,"Margao via Agnel Ashra",,1
492,FULLW,95988,"Margao via Agnel Ashra",,1
492,FULLW,95990,"Margao via Agnel Ashra",,1
493,FULLW,95833,"Cotta via Curtorim",,0
493,FULLW,95844,"Margao via Curtorim",,1
500,FULLW,95841,"Dramapur via Navelim",,0
500,FULLW,95846,"Margao via Navelim",,1
502,FULLW,95842,"Don Khuris via Navelim",,0
502,FULLW,95847,"Margao via Navelim",,1
504,FULLW,95850,"Harbour Vasco via Thana",,0
504,FULLW,95863,"Harbour Vasco via Thana",,0
504,FULLW,95877,"Harbour Vasco via Thana",,0
504,FULLW,95890,"Harbour Vasco via Thana",,0
504,FULLW,95901,"Harbour Vasco via Thana",,0
504,FULLW,95913,"Margao via Thana",,1
504,FULLW,95921,"Margao via Thana",,1
504,FULLW,95932,"Margao via Thana",,1
504,FULLW,95941,"Margao via Thana",,1
507,FULLW,97083,"Kalay",,0
509,FULLW,95853,"Kamorcond via Shiroda",,0
509,FULLW,95862,"Kamorcond via Shiroda",,0
509,FULLW,95872,"Margao via Shiroda",,1
509,FULLW,95878,"Margao via Shiroda",,1
511,FULLW,95857,"Khargal via Poiginim",,0
511,FULLW,95871,"Margao via Poiginim",,1
515,FULLW,95875,"Kuskem via Canacona",,0
515,FULLW,95884,"Margao via Canacona",,1
517,FULLW,95879,"Macasana via Curtorim",,0
517,FULLW,95885,"Macasana via Curtorim",,0
517,FULLW,95889,"Margao via Curtorim",,1
517,FULLW,95892,"Margao via Curtorim",,1
520,FULLW,95887,"Molkopon via Kepem",,0
520,FULLW,95891,"Margao via Kepem",,1
521,FULLW,95897,"Mollem via Curchorem",,0
521,FULLW,95908,"Margao via Curchorem",,1
522,FULLW,95899,"Neturlim via Curchorem",,0
522,FULLW,95906,"Margao via Curchorem",,1
532,FULLW,95917,"Pirla via Kepem",,0
532,FULLW,95925,"Pirla via Kepem",,0
532,FULLW,95933,"Margao via Kepem",,1
538,FULLW,95935,"Sal via Usgao Tisk",,0
538,FULLW,95946,"Margao via Usgao Tisk",,1
539,FULLW,95938,"Margao via Curchorem,Neturlim",,1
540,FULLW,95943,"Sateribhat via Ponda",,0
540,FULLW,95947,"Sateribhat via Ponda",,0
540,FULLW,95954,"Margao via Ponda",,1
540,FULLW,95961,"Margao via Ponda",,1
543,FULLW,95952,"Margao via Kepem",,1
544,FULLW,95953,"Tirvan via Canacona",,0
544,FULLW,95963,"Tirvan via Canacona",,0
544,FULLW,95979,"Margao via Canacona",,1
545,FULLW,95959,"Tudol Gaodongri via Canacona",,0
546,FULLW,95845,"Goa University Library via Cortalim",,0
546,FULLW,95859,"Margao via Cortalim",,1
546,FULLW,95869,"Margao via Cortalim",,1
547,FULLW,95962,"Margao via Rivona",,1
549,FULLW,97091,"Val via Canacona",,0
556,FULLW,95964,"Margao via Assolna",,1
557,FULLW,95969,"Velsao via Majorda",,0
557,FULLW,95974,"Margao via Majorda",,1
558,FULLW,97070,"Colva Beach",,0
558,FULLW,97075,"Colva Beach",,0
558,FULLW,97076,"Margao",,1
558,FULLW,97079,"Margao",,1
566,FULLW,97247,"Cuncoliem via Titan,Ponda",,0
566,FULLW,97258,"Panaji via Titan,Ponda",,1
568,FULLW,96124,"Goa University Library via G.M.C.",,0
568,FULLW,96127,"Goa University Library via G.M.C.",,0
568,FULLW,96131,"Goa University Library via G.M.C.",,0
568,FULLW,96134,"Goa University Library via G.M.C.",,0
568,FULLW,96138,"Panaji via G.M.C.",,1
568,FULLW,96140,"Panaji via G.M.C.",,1
568,FULLW,96142,"Panaji via G.M.C.",,1
568,FULLW,96144,"Panaji via G.M.C.",,1
569,FULLW,96433,"Zarme via Ponda,Valpoi",,0
569,FULLW,96444,"Panaji via Ponda,Valpoi",,1
572,FULLW,96457,"Goa Multi Faculty College (GMFC) Daya Nagar",,0
572,FULLW,96463,"Ponda",,1
573,FULLW,96462,"Kamorcond via Shiroda",,0
573,FULLW,96471,"Kamorcond via Shiroda",,0
573,FULLW,96479,"Ponda via Shiroda",,1
577,FULLW,95707,"Saljini via Sanguem",,0
577,FULLW,95715,"Curchorem - Savordem via Sanguem",,1
595,FULLW,95867,"Kudchire via Ponda,Marcel",,0
595,FULLW,95883,"Margao via Ponda,Marcel",,1
599,FULLW,96326,"Rayeshwar College of Engineering via Ponda",,0
599,FULLW,96346,"Rayeshwar College of Engineering via Ponda",,0
599,FULLW,96356,"Panaji via Ponda",,1
